,종목코드,기업명,상장일
284,002420,세기상사,1968-12-27
285,004360,세방,1977-05-19
286,004490,세방전지,1987-11-28
287,001430,세아베스틸,1991-03-12
288,019440,세아특수강,2011-06-01
289,058650,세아홀딩스,2001-07-30
290,013000,세우글로벌,1989-09-05
291,091090,세원셀론텍,2006-07-31
292,021820,세원정공,1996-07-03
293,067830,세이브존I&C,2002-07-25
294,033530,세종공업,2002-09-25
295,075580,세진중공업,2015-11-30
296,004430,송원산업,1977-06-25
297,017550,수산중공업,1991-08-30
298,134790,시디즈,2011-01-25
299,016590,신대양제지,1995-12-21
300,029530,신도리코,1996-12-24
301,004970,신라교역,1976-06-30
302,011930,신성이엔지,1996-07-31
303,005390,신성통상,1975-12-22
304,004170,신세계,1985-08-19
305,035510,신세계I&C,2006-05-18
306,034300,신세계건설,2002-06-17
307,031430,신세계인터내셔날,2011-07-14
308,031440,신세계푸드,2010-04-29
309,006880,신송홀딩스,2013-11-21
310,001720,신영증권,1987-08-24
311,009270,신원,1988-08-24
312,019170,신풍제약,1990-01-20
313,055550,신한지주,2001-09-10
314,001770,신화실업,1988-11-23
315,004080,신흥,1991-02-08
316,102280,쌍방울,2008-06-10
317,003620,쌍용자동차,1975-05-29
318,004770,써니전자,1987-04-22
319,004920,씨아이테크,1989-11-30
320,112610,씨에스윈드,2014-11-27
321,090430,아모레퍼시픽,2006-06-29
322,002790,아모레퍼시픽그룹,1973-04-30
323,002030,아세아,1974-06-03
324,183190,아세아시멘트,2013-11-06
325,002310,아세아제지,1988-12-15
326,122900,아이마켓코리아,2010-07-30
327,010780,아이에스동서,1986-01-27
328,003560,아이에이치큐,1973-12-18
329,033660,아주캐피탈,2009-06-25
330,001780,알루코,2007-06-07
331,011090,에넥스,1995-07-08
332,005850,에스엘,1988-11-08
333,012750,에스원,1996-01-30
334,123700,에스제이엠,2010-05-31
335,025530,에스제이엠홀딩스,1997-02-12
336,023960,에쓰씨엔지니어링,1997-06-23
337,078520,에이블씨엔씨,2011-09-07
338,015260,에이엔피,1988-01-18
339,003060,에이프로젠제약,1984-10-19
340,036570,엔씨소프트,2003-05-22
341,181710,엔에이치엔,2013-08-29
342,085310,엔케이,2008-01-24
343,009810,엔케이물산,1988-08-31
344,004250,엔피씨,1969-09-08
345,900140,엘브이엠씨,2010-11-30
346,014440,영보화학,1997-08-27
347,111770,영원무역,2009-07-30
348,009970,영원무역홀딩스,1988-11-07
349,003520,영진약품,1973-06-25
350,000670,영풍,1976-06-12
351,006740,영풍제지,1996-07-03
352,012280,영화금속,1990-01-25
353,012160,영흥철강,2010-01-25
354,015360,예스코홀딩스,1996-12-24
355,007310,오뚜기,1994-08-12
356,002630,오리엔트바이오,1976-12-28
357,004720,우리들제약,1990-06-15
